"","age","Ice"
"1",0.001,293.783
"2",0.026,289.8194
"3",0.051,285.8561
"4",0.076,288.2564
"5",0.101,290.6569
"6",0.126,295.0324
"7",0.151,299.4081
"8",0.176,299.0661
"9",0.201,298.7243
"10",0.226,301.0155
"11",0.251,303.3066
"12",0.276,305.1588
"13",0.301,307.0109
"14",0.326,305.0229
"15",0.351,303.0346
"16",0.376,301.4848
"17",0.401,299.9348
"18",0.426,298.6038
"19",0.451,297.2724
"20",0.476,297.8057
"21",0.501,298.3385
"22",0.526,294.921
"23",0.551,291.5032
"24",0.576,293.3513
"25",0.601,295.1991
"26",0.626,299.5702
"27",0.651,303.9414
"28",0.676,300.1939
"29",0.701,296.4466
"30",0.726,296.9784
"31",0.751,297.5107
"32",0.776,300.2378
"33",0.801,302.9655
"34",0.826,301.4152
"35",0.851,299.8658
"36",0.876,297.7688
"37",0.901,295.6728
"38",0.926,299.6123
"39",0.951,303.553
"40",0.976,296.4142
"41",1.001,289.2769
"42",1.026,290.1502
"43",1.051,291.025
"44",1.076,296.3994
"45",1.101,301.7751
"46",1.126,301.008
"47",1.151,300.242
"48",1.176,298.3797
"49",1.201,296.5181
"50",1.226,295.7544
"51",1.251,294.9913
"52",1.276,294.8868
"53",1.301,294.7826
"54",1.326,292.9233
"55",1.351,291.064
"56",1.376,292.2766
"57",1.401,293.4891
"58",1.426,292.2876
"59",1.451,291.0856
"60",1.476,297.5631
"61",1.501,304.04
"62",1.526,301.1905
"63",1.551,298.3403
"64",1.576,291.9788
"65",1.601,285.6169
"66",1.626,294.8338
"67",1.651,304.0505
"68",1.676,299.0043
"69",1.701,293.9581
"70",1.726,299.4443
"71",1.751,304.9307
"72",1.776,301.7501
"73",1.801,298.5697
"74",1.826,295.9384
"75",1.851,293.3075
"76",1.876,287.4957
"77",1.901,281.6845
"78",1.926,285.7484
"79",1.951,289.8132
"80",1.976,289.4905
"81",2.001,289.1689
"82",2.026,290.4943
"83",2.051,291.8207
"84",2.076,292.5996
"85",2.101,293.3795
"86",2.126,297.8905
"87",2.151,302.4023
"88",2.176,299.4543
"89",2.201,296.5069
"90",2.226,290.3784
"91",2.251,284.2503
"92",2.276,286.6801
"93",2.301,289.1102
"94",2.326,290.3337
"95",2.351,291.5573
"96",2.376,289.7089
"97",2.401,287.8604
"98",2.426,295.7762
"99",2.451,303.6917
"100",2.476,299.3191
"101",2.501,294.946
"102",2.526,293.425
"103",2.551,291.9035
"104",2.576,293.8925
"105",2.601,295.881
"106",2.626,296.2236
"107",2.651,296.5659
"108",2.676,295.1525
"109",2.701,293.739
"110",2.726,290.1311
"111",2.751,286.5231
"112",2.776,287.6327
"113",2.801,288.7424
"114",2.826,290.7298
"115",2.851,292.7173
"116",2.876,291.5234
"117",2.901,290.3296
"118",2.926,286.0641
"119",2.951,281.7989
"120",2.976,285.5432
"121",3.001,289.2878
"122",3.026,291.6065
"123",3.051,293.9255
"124",3.076,290.8685
"125",3.101,287.8113
"126",3.126,289.0324
"127",3.151,290.2529
"128",3.176,291.9113
"129",3.201,293.5686
"130",3.226,292.5914
"131",3.251,291.6126
"132",3.276,292.3874
"133",3.301,293.1602
"134",3.326,290.5297
"135",3.351,287.8967
"136",3.376,286.797
"137",3.401,285.6943
"138",3.426,288.5382
"139",3.451,291.3788
"140",3.476,290.5952
"141",3.501,289.8078
"142",3.526,289.3457
"143",3.551,288.8806
"144",3.576,290.7175
"145",3.601,292.5532
"146",3.626,285.5022
"147",3.651,278.452
"148",3.676,279.9613
"149",3.701,281.4735
"150",3.726,286.1711
"151",3.751,290.8735
"152",3.776,290.7543
"153",3.801,290.6419
"154",3.826,292.4023
"155",3.851,294.1713
"156",3.876,293.0975
"157",3.901,292.0343
"158",3.926,291.641
"159",3.951,291.2603
"160",3.976,287.6018
"161",4.001,283.9577
"162",4.026,287.2408
"163",4.051,290.5381
"164",4.076,293.1903
"165",4.101,295.8547
"166",4.126,292.8249
"167",4.151,289.8049
"168",4.176,286.5742
"169",4.201,283.3512
"170",4.226,289.4602
"171",4.251,295.5746
"172",4.276,289.8443
"173",4.301,284.1171
"174",4.326,289.2535
"175",4.351,294.3908
"176",4.376,293.384
"177",4.401,292.3758
"178",4.426,288.8418
"179",4.451,285.3042
"180",4.476,289.3322
"181",4.501,293.3543
"182",4.526,287.4957
"183",4.551,281.6306
"184",4.576,286.4019
"185",4.601,291.1676
"186",4.626,293.2953
"187",4.651,295.4185
"188",4.676,292.6006
"189",4.701,289.779
"190",4.726,287.9418
"191",4.751,286.102
"192",4.776,288.9777
"193",4.801,291.8516
"194",4.826,290.7747
"195",4.851,289.697
"196",4.876,286.0956
"197",4.901,282.4944
"198",4.926,286.1348
"199",4.951,289.7764
"200",4.976,290.3477
"201",5.001,290.9209
"202",5.026,289.8509
"203",5.051,288.7831
"204",5.076,292.5447
"205",5.101,296.308
"206",5.126,290.1986
"207",5.151,284.0904
"208",5.176,287.1992
"209",5.201,290.3086
"210",5.226,294.9546
"211",5.251,299.6007
"212",5.276,298.4321
"213",5.301,297.2632
"214",5.326,297.9589
"215",5.351,298.6538
"216",5.376,294.63
"217",5.401,290.605
"218",5.426,289.8698
"219",5.451,289.1329
"220",5.476,288.723
"221",5.501,288.3109
"222",5.526,291.8461
"223",5.551,295.3791
"224",5.576,293.4247
"225",5.601,291.469
"226",5.626,296.6436
"227",5.651,301.8177
"228",5.676,298.2144
"229",5.701,294.6113
"230",5.726,293.3128
"231",5.751,292.0151
"232",5.776,294.3393
"233",5.801,296.6651
"234",5.826,290.2159
"235",5.851,283.7692
"236",5.876,289.5034
"237",5.901,295.2409
"238",5.926,297.9099
"239",5.951,300.5829
"240",5.976,300.4076
"241",6.001,300.2371
"242",6.026,299.3035
"243",6.051,298.3743
"244",6.076,293.8284
"245",6.101,289.2856
"246",6.126,293.9612
"247",6.151,298.6387
"248",6.176,298.3804
"249",6.201,298.1227
"250",6.226,298.6331
"251",6.251,299.1427
"252",6.276,299.1026
"253",6.301,299.0605
"254",6.326,297.8091
"255",6.351,296.5545
"256",6.376,293.431
"257",6.401,290.303
"258",6.426,292.6557
"259",6.451,295.0027
"260",6.476,300.9639
"261",6.501,306.9181
"262",6.526,300.3579
"263",6.551,293.7916
"264",6.576,295.4494
"265",6.601,297.1042
"266",6.626,296.4536
"267",6.651,295.803
"268",6.676,295.5927
"269",6.701,295.3856
"270",6.726,297.8161
"271",6.751,300.2527
"272",6.776,299.7346
"273",6.801,299.2256
"274",6.826,298.0689
"275",6.851,296.9243
"276",6.876,299.6333
"277",6.901,302.3574
"278",6.926,300.7095
"279",6.951,299.0798
"280",6.976,301.4195
"281",7.001,303.7802
"282",7.026,303.0908
"283",7.051,302.4211
"284",7.076,303.9624
"285",7.101,305.5176
"286",7.126,305.9868
"287",7.151,306.4643
"288",7.176,304.5334
"289",7.201,302.6052
"290",7.226,306.272
"291",7.251,309.9357
"292",7.276,307.8884
"293",7.301,305.8323
"294",7.326,303.3256
"295",7.351,300.8045
"296",7.376,300.8991
"297",7.401,300.9735
"298",7.426,302.4512
"299",7.451,303.903
"300",7.476,305.9843
"301",7.501,308.0341
"302",7.526,303.1395
"303",7.551,298.218
"304",7.576,299.4208
"305",7.601,300.6111
"306",7.626,301.3573
"307",7.651,302.1054
"308",7.676,302.5335
"309",7.701,302.9778
"310",7.726,299.1667
"311",7.751,295.3863
"312",7.776,297.6779
"313",7.801,300.0144
"314",7.826,307.3402
"315",7.851,314.7254
"316",7.876,311.3155
"317",7.901,307.9793
"318",7.926,304.0657
"319",7.951,300.2402
"320",7.976,306.4938
"321",8.001,312.8499
"322",8.026,314.0465
"323",8.051,315.3442
"324",8.076,325.9511
"325",8.101,336.6434
"326",8.126,343.1343
"327",8.151,349.6948
"328",8.176,344.6876
"329",8.201,339.7341
"330",8.226,332.6324
"331",8.251,325.5688
"332",8.276,328.1901
"333",8.301,330.8337
"334",8.326,337.3318
"335",8.351,343.8364
"336",8.376,341.5627
"337",8.401,339.2798
"338",8.426,339.0643
"339",8.451,338.824
"340",8.476,341.6227
"341",8.501,344.3808
"342",8.526,343.1425
"343",8.551,341.8583
"344",8.576,350.5145
"345",8.601,359.1294
"346",8.626,356.4049
"347",8.651,353.6438
"348",8.676,355.6757
"349",8.701,357.6756
"350",8.726,361.4011
"351",8.751,365.0993
"352",8.776,362.0798
"353",8.801,359.0376
"354",8.826,356.0846
"355",8.851,353.1134
"356",8.876,358.6839
"357",8.901,364.2409
"358",8.926,364.7398
"359",8.951,365.2298
"360",8.976,372.4056
"361",9.001,379.5771
"362",9.026,375.7746
"363",9.051,371.9689
"364",9.076,369.8047
"365",9.101,367.6352
"366",9.126,372.1519
"367",9.151,376.6612
"368",9.176,385.002
"369",9.201,393.3335
"370",9.226,393.5357
"371",9.251,393.7263
"372",9.276,387.7605
"373",9.301,381.7812
"374",9.326,383.6865
"375",9.351,385.5761
"376",9.376,389.2045
"377",9.401,392.8151
"378",9.426,390.4824
"379",9.451,388.1298
"380",9.476,389.8158
"381",9.501,391.4799
"382",9.526,391.6959
"383",9.551,391.8938
"384",9.576,392.627
"385",9.601,393.3515
"386",9.626,392.3165
"387",9.651,391.2823
"388",9.676,391.3506
"389",9.701,391.429
"390",9.726,397.7758
"391",9.751,404.142
"392",9.776,403.1816
"393",9.801,402.2499
"394",9.826,404.6431
"395",9.851,407.0745
"396",9.876,405.8185
"397",9.901,404.6101
"398",9.926,409.5977
"399",9.951,414.6423
"400",9.976,415.36
"401",10.001,416.1439
"402",10.026,417.3254
"403",10.051,418.5687
"404",10.076,421.5111
"405",10.101,424.4981
"406",10.126,435.7499
"407",10.151,447.0291
"408",10.176,442.6385
"409",10.201,438.2584
"410",10.226,444.7417
"411",10.251,451.2184
"412",10.276,453.1816
"413",10.301,455.121
"414",10.326,455.1629
"415",10.351,455.1639
"416",10.376,452.2629
"417",10.401,449.3038
"418",10.426,452.7512
"419",10.451,456.1234
"420",10.476,461.6061
"421",10.501,466.9965
"422",10.526,460.4421
"423",10.551,453.8065
"424",10.576,460.6027
"425",10.601,467.3547
"426",10.626,469.5828
"427",10.651,471.8036
"428",10.676,475.0232
"429",10.701,478.2725
"430",10.726,488.0433
"431",10.751,497.8809
"432",10.776,497.3811
"433",10.801,496.9852
