"","age","Nb"
"1",1,0.1070528967
"2",30,0.1414141414
"3",30,0.1418439716
"4",1,0.1081761006
"5",7,0.0860446081
"6",9,0.0305453258
"7",9,0.0316140351
"8",9,0.0320092113
"9",9,0.0230108211
"10",7,0.0935483871
"11",7,0.09967582
"12",7,0.091796875
"13",7,0.0927487352
"14",7,0.0840371792
"15",1,0.1172033119
"16",8,0.1077844311
"17",8,0.0953206239
"18",8,0.0980066445
"19",17,0.1130667967
"20",10,0.0495970696
"21",10,0.0412735849
"22",10,0.0424002217
"23",80,0.1058823529
"24",80,0.1070110701
"25",80,0.1074815595
"26",80,0.1100283822
"27",80,0.1135458167
"28",30,0.1585220501
"29",40,0.1544715447
"30",40,0.1544011544
"31",40,0.1576200418
"32",40,0.1553911205
"33",40,0.1551724138
"34",40,0.1577698695
"35",40,0.1594508976
"36",40,0.1547368421
"37",40,0.1567251462
"38",40,0.1553701773
"39",40,0.1582417582
"40",40,0.1591880342
"41",40,0.1577217963
"42",40,0.1588669951
"43",40,0.1457085828
"44",40,0.1009809579
"45",10,0.0368421053
"46",1,0.1188983856
"47",40,0.1420047733
"48",9,0.0431034483
"49",9,0.0819771138
"50",9,0.0609742441
"51",9,0.0884488449
"52",9,0.0712406015
"53",9,0.0818414322
"54",40,0.1371676037
"55",1,0.1183712121
"56",40,0.1150121065
"57",46,0.1479296785
"58",40,0.1552837241
"59",40,0.152917505
"60",46,0.1477053997
"61",40,0.1445356917
"62",20,0.1466861598
"63",4,0.1000701098
"64",40,0.1599552573
"65",40,0.1590389016
"66",46,0.1438508991
"67",15,0.1559734513
"68",16,0.1590656285
"69",20,0.1537572254
"70",15,0.1596828992
"71",15,0.139959432
"72",5,0.1076642336
"73",5,0.105734767
"74",13,0.158061117
"75",46,0.1518329939
"76",46,0.1497326203
"77",46,0.1536144578
"78",30,0.1430219146
"79",20,0.1422070535
"80",18,0.1414141414
"81",15,0.1342105263
"82",12,0.1408450704
"83",4,0.1598820059
"84",30,0.1625994695
"85",4,0.1744685663
"86",3,0.1434977578
"87",40,0.1454112038
"88",40,0.1493975904
"89",10,0.0372466315
"90",13,0.1129793138
"91",30,0.1512149338
"92",10,0.1015212818
"93",15,0.1546746613
"94",40,0.1421421421
"95",15,0.1465063862
"96",4,0.1081081081
"97",3,0.1223776224
"98",18,0.1359338061
"99",3,0.1221779548
"100",3,0.1202614379
"101",13,0.1137549572
"102",13,0.1115241636
"103",13,0.1634798025
"104",3,0.1029619182
"105",18,0.1118154312
"106",18,0.1324167873
"107",19,0.0991325898
"108",2,0.1019553073
"109",19,0.1093247588
"110",19,0.1297814208
"111",19,0.1222570533
"112",40,0.153951976
"113",40,0.1592797784
"114",40,0.1489708405
"115",19,0.1435845214
"116",13,0.1015625
"117",40,0.1423001949
"118",13,0.1178903826
"119",13,0.1007194245
"120",70,0.1370869033
"121",70,0.1407151096
"122",70,0.1387900356
"123",70,0.1337423313
"124",30,0.0923976608
"125",70,0.1347342398
"126",60,0.1481712756
"127",70,0.1330275229
"128",70,0.1291759465
"129",70,0.1335740072
"130",8,0.1111111111
"131",40,0.1436950147
"132",15,0.1405852417
"133",40,0.1349480969
"134",5,0.1111111111
"135",20,0.1460134486
"136",70,0.1138613861
"137",70,0.1484593838
"138",70,0.127027027
"139",70,0.1245318352
"140",70,0.1488151659
"141",40,0.1460674157
"142",40,0.1479007634
"143",40,0.1482194418
"144",40,0.1122047244
"145",40,0.1135029354
"146",20,0.1412151067
"147",20,0.1347708895
"148",20,0.1046195652
"149",30,0.1376518219
"150",4,0.138651472
"151",5,0.1146853147
"152",18,0.146393972
"153",2,0.1151515152
"154",2,0.1112804878
"155",2,0.1194029851
"156",2,0.1195219124
"157",40,0.141923436
"158",40,0.1437788018
"159",2,0.1195652174
"160",2,0.0930979133
"161",2,0.09375
"162",30,0.1474056604
"163",25,0.1482381531
"164",25,0.1452991453
"165",40,0.1403353928
"166",40,0.1432664756
"167",40,0.1456692913
"168",40,0.1352874859
"169",20,0.1244914565
"170",30,0.1455497382
"171",20,0.1224256293
"172",20,0.1224732461
"173",40,0.137040715
"174",40,0.1468926554
"175",40,0.1361014994
"176",40,0.147338403
"177",40,0.0975609756
"178",15,0.1301907969
"179",25,0.1342281879
"180",18,0.1315092674
"181",20,0.1373626374
"182",19,0.1289308176
"183",19,0.1311134235
"184",16,0.1450459653
"185",18,0.1281767956
"186",18,0.1274089936
"187",18,0.1289617486
"188",3,0.1354279523
"189",18,0.1294642857
"190",17,0.1287128713
"191",1,0.1350842199
"192",6,0.105952195
"193",4,0.115
"194",13,0.0257979886
"195",20,0.0992366412
"196",20,0.1298586572
"197",20,0.100619195
"198",20,0.0917030568
"199",18,0.1505968779
"200",18,0.1440195281
"201",5,0.1330943571
"202",20,0.1067961165
"203",20,0.1317747078
"204",20,0.1379716981
"205",20,0.1383577053
"206",20,0.1407322654
"207",17,0.0992907801
"208",17,0.0959183673
"209",2,0.1153262519
"210",30,0.1371852153
"211",7,0.1089264974
"212",20,0.1031073446
"213",20,0.1321499014
"214",20,0.1296928328
"215",20,0.1310344828
"216",20,0.1004304161
"217",14,0.1559356137
"218",2,0.1276346604
"219",4,0.1184767278
"220",3,0.1350546177
"221",3,0.1232294618
"222",18,0.0649350649
"223",16,0.1199616123
"224",14,0.1244493392
"225",30,0.1270772239
"226",2,0.1189427313
"227",2,0.1100795756
"228",2,0.1049284579
"229",19,0.1474773609
"230",19,0.1469907407
"231",19,0.1472972973
"232",19,0.14781491
"233",19,0.1266490765
"234",19,0.1319857313
"235",18,0.1258457375
"236",18,0.1256157635
"237",30,0.1272040302
"238",30,0.1265474553
"239",1,0.1208053691
"240",30,0.1260053619
"241",30,0.1260997067
"242",13,0.128600823
"243",30,0.1334841629
"244",30,0.1317829457
"245",11,0.0502512563
"246",13,0.1154381085
"247",30,0.132967033
"248",17,0.1174757282
"249",1,0.1188707281
"250",13,0.1218056513
"251",7,0.1089258699
"252",13,0.1111111111
"253",19,0.1144726083
"254",13,0.0563380282
"255",5,0.132231405
"256",13,0.1052631579
"257",13,0.1085106383
"258",13,0.1082677165
"259",1,0.1242532855
"260",1,0.1254801536
"261",4,0.1241283124
"262",3,0.1540540541
"263",30,0.1461678832
"264",6,0.1318389177
"265",5,0.1215066829
"266",6,0.1122214627
"267",16,0.1618973561
"268",8,0.1440144014
"269",16,0.1469428008
"270",13,0.0393258427
"271",13,0.0465116279
"272",13,0.0320512821
"273",30,0.1568449683
"274",11,0.0598802395
"275",13,0.1294527363
"276",19,0.1807763783
"277",2,0.1186375
"278",70,0.1196956889
"279",13,0.0972972973
"280",2,0.1188007495
"281",6,0.1051790693
"282",15,0.0932711526
"283",25,0.1379746835
"284",5,0.1280409731
"285",11,0.1215846995
"286",2,0.1267313019
"287",1,0.095393401
"288",1,0.1551948052
"289",11.6,0.0782608696
"290",11.6,0.08
"291",9.9,0.0965517241
"292",10.7,0.1042253521
"293",10.5,0.1053571429
